"No.","Kode Wilayah","Nama Wilayah","Propinsi","Persentase Anggaran Pendidikan tanpa Transfer Daerah (%)","TK < D4/S1","TK < D4/S1 (%)","TK >= D4/S1","TK >= D4/S1 (%)","SD < D4/S1","SD < D4/S1 (%)","SD >= D4/S1","SD >= D4/S1 (%)","SMP < D4/S1","SMP < D4/S1 (%)","SMP >= D4/S1","SMP >= D4/S1 (%)","SMA < D4/S1","SMA < D4/S1 (%)","SMA >= D4/S1","SMA >= D4/S1 (%)","SMK < D4/S1","SMK < D4/S1 (%)","SMK >= D4/S1","SMK >= D4/S1 (%)","SLB < D4/S1","SLB < D4/S1 (%)","SLB >= D4/S1","SLB >= D4/S1 (%)"
"1","010000","Prov. D.K.I. Jakarta","Prov. D.K.I. Jakarta","18.96","5622","32.66","11590","67.34","2266","5.87","36343","94.13","674","3.51","18504","96.49","177","1.58","11061","98.42","441","3.90","10872","96.10","97","8.57","1035","91.43"
"2","010100","Kab. Kepulauan Seribu","Prov. D.K.I. Jakarta","0.00","15","25.86","43","74.14","3","1.76","167","98.24","2","2.20","89","97.80","0","0.00","35","100.00","0","0.00","33","100.00","0","0.00","0","0.00"
"3","016000","Kota Jakarta Pusat","Prov. D.K.I. Jakarta","0.00","547","34.86","1022","65.14","405","9.49","3861","90.51","87","3.89","2152","96.11","20","1.51","1304","98.49","76","5.19","1389","94.81","1","1.16","85","98.84"
"4","016100","Kota Jakarta Utara","Prov. D.K.I. Jakarta","0.00","970","37.39","1624","62.61","402","6.90","5426","93.10","106","3.53","2897","96.47","26","1.56","1644","98.44","54","3.60","1448","96.40","2","2.20","89","97.80"
"5","016200","Kota Jakarta Barat","Prov. D.K.I. Jakarta","0.00","1311","33.65","2585","66.35","527","6.24","7914","93.76","189","4.57","3943","95.43","40","1.83","2140","98.17","66","3.25","1965","96.75","22","8.40","240","91.60"
"6","016300","Kota Jakarta Selatan","Prov. D.K.I. Jakarta","0.00","1608","36.42","2807","63.58","459","5.36","8110","94.64","112","2.71","4018","97.29","47","1.76","2622","98.24","95","3.43","2672","96.57","51","11.94","376","88.06"
"7","016400","Kota Jakarta Timur","Prov. D.K.I. Jakarta","0.00","1171","25.02","3509","74.98","470","4.15","10865","95.85","178","3.19","5405","96.81","44","1.31","3316","98.69","150","4.27","3365","95.73","21","7.89","245","92.11"
"8","020000","Prov. Jawa Barat","Prov. Jawa Barat","13.61","18640","35.54","33808","64.46","12092","6.14","184870","93.86","4108","4.77","81969","95.23","863","2.43","34680","97.57","3231","6.25","48432","93.75","145","3.50","3992","96.50"
"9","020500","Kab. Bogor","Prov. Jawa Barat","11.29","1380","45.82","1632","54.18","1316","7.03","17408","92.97","622","7.28","7925","92.72","105","3.29","3086","96.71","460","9.80","4236","90.20","4","7.14","52","92.86"
"10","020600","Kab. Sukabumi","Prov. Jawa Barat","17.08","544","31.07","1207","68.93","356","4.01","8513","95.99","207","5.32","3687","94.68","36","2.57","1367","97.43","166","8.68","1747","91.32","8","7.41","100","92.59"
