"No.","Kode Wilayah","Nama Wilayah","Propinsi","Persentase Anggaran Pendidikan tanpa Transfer Daerah (%)","SD (Baik)","SD (Baik) %","SD (Rusak Ringan)","SD (Rusak Ringan) %","SD (Rusak Sedang)","SD (Rusak Sedang) %","SD (Rusak Berat)","SD (Rusak Berat) %","SD (Rusak Total)","SD (Rusak Total) %","SMP (Baik)","SMP (Baik) %","SMP (Rusak Ringan)","SMP (Rusak Ringan) %","SMP (Rusak Sedang)","SMP (Rusak Sedang) %","SMP (Rusak Berat)","SMP (Rusak Berat) %","SMP (Rusak Total)","SMP (Rusak Total) %","SMA (Baik)","SMA (Baik) %","SMA (Rusak Ringan)","SMA (Rusak Ringan) %","SMA (Rusak Sedang)","SMA (Rusak Sedang) %","SMA (Rusak Berat)","SMA (Rusak Berat) %","SMA (Rusak Total)","SMA (Rusak Total) %","SMK (Baik)","SMK (Baik) %","SMK (Rusak Ringan)","SMK (Rusak Ringan) %","SMK (Rusak Sedang)","SMK (Rusak Sedang) %","SMK (Rusak Berat)","SMK (Rusak Berat) %","SMK (Rusak Total)","SMK (Rusak Total) %"
"1","010000","Prov. D.K.I. Jakarta","Prov. D.K.I. Jakarta","18.96","16181","58.51","10364","37.48","593","2.14","508","1.84","7","0.03","5765","47.93","5840","48.56","288","2.39","134","1.11","0","0.00","4121","66.32","2016","32.44","62","1.00","15","0.24","0","0.00","4053","54.78","3225","43.59","69","0.93","52","0.70","0","0.00"
"2","010100","Kab. Kepulauan Seribu","Prov. D.K.I. Jakarta","0.00","66","55.93","52","44.07","0","0.00","0","0.00","0","0.00","30","63.83","16","34.04","0","0.00","1","2.13","0","0.00","13","72.22","5","27.78","0","0.00","0","0.00","0","0.00","7","50.00","6","42.86","0","0.00","1","7.14","0","0.00"
"3","016000","Kota Jakarta Pusat","Prov. D.K.I. Jakarta","0.00","1234","38.19","1791","55.43","111","3.44","95","2.94","0","0.00","630","46.22","687","50.40","43","3.15","3","0.22","0","0.00","427","58.49","295","40.41","7","0.96","1","0.14","0","0.00","420","52.24","324","40.30","23","2.86","37","4.60","0","0.00"
"4","016100","Kota Jakarta Utara","Prov. D.K.I. Jakarta","0.00","2635","59.76","1542","34.97","84","1.91","147","3.33","1","0.02","828","42.70","1061","54.72","23","1.19","27","1.39","0","0.00","660","69.69","255","26.93","26","2.75","6","0.63","0","0.00","589","57.80","414","40.63","9","0.88","7","0.69","0","0.00"
"5","016200","Kota Jakarta Barat","Prov. D.K.I. Jakarta","0.00","4067","63.97","2059","32.38","146","2.30","86","1.35","0","0.00","1326","48.45","1329","48.56","63","2.30","19","0.69","0","0.00","897","69.05","391","30.10","11","0.85","0","0.00","0","0.00","944","64.39","520","35.47","1","0.07","1","0.07","0","0.00"
"6","016300","Kota Jakarta Selatan","Prov. D.K.I. Jakarta","0.00","3657","61.72","2060","34.77","117","1.97","85","1.43","6","0.10","1360","51.01","1206","45.24","81","3.04","19","0.71","0","0.00","955","63.20","549","36.33","7","0.46","0","0.00","0","0.00","706","40.60","1007","57.91","21","1.21","5","0.29","0","0.00"
"7","016400","Kota Jakarta Timur","Prov. D.K.I. Jakarta","0.00","4522","59.41","2860","37.57","135","1.77","95","1.25","0","0.00","1591","48.58","1541","47.05","78","2.38","65","1.98","0","0.00","1169","68.40","521","30.49","11","0.64","8","0.47","0","0.00","1387","58.85","954","40.48","15","0.64","1","0.04","0","0.00"
"8","020000","Prov. Jawa Barat","Prov. Jawa Barat","13.61","32189","22.70","80366","56.67","14939","10.53","14272","10.06","41","0.03","20992","37.76","25271","45.46","5252","9.45","4065","7.31","10","0.02","9452","45.41","9153","43.98","1232","5.92","976","4.69","0","0.00","15552","46.98","15986","48.29","929","2.81","628","1.90","6","0.02"
"9","020500","Kab. Bogor","Prov. Jawa Barat","11.29","3848","27.96","8433","61.27","876","6.36","606","4.40","0","0.00","2938","47.69","2719","44.13","323","5.24","178","2.89","3","0.05","1007","51.33","807","41.13","94","4.79","54","2.75","0","0.00","1530","41.60","1878","51.06","144","3.92","126","3.43","0","0.00"
"10","020600","Kab. Sukabumi","Prov. Jawa Barat","17.08","1233","15.12","4432","54.33","1095","13.42","1396","17.11","1","0.01","1071","38.30","1022","36.55","319","11.41","384","13.73","0","0.00","369","41.69","354","40.00","68","7.68","94","10.62","0","0.00","655","45.30","749","51.80","25","1.73","13","0.90","4","0.28"
