"No.","Kode Wilayah","Nama Wilayah","Propinsi","Persentase Anggaran Pendidikan tanpa Transfer Daerah (%)","UN SMP","UN SMA IPA","UN SMA IPS","UN SMA BAHASA","UN SMK","IIUN SMP","IIUN SMA IPA","IIUN SMA IPS","IIUN SMA BAHASA","IIUN SMK"
"1","010000","Prov. D.K.I. Jakarta","Prov. D.K.I. Jakarta","18.96","62.17","67.99","63.75","0","51.41","100","100","100","0","100"
"2","010100","Kab. Kepulauan Seribu","Prov. D.K.I. Jakarta","0.00","45.26","0","0","0","0","100","0","0","0","0"
"3","016000","Kota Jakarta Pusat","Prov. D.K.I. Jakarta","0.00","60.97","69.43","64.01","0","55.13","100","100","100","0","100"
"4","016100","Kota Jakarta Utara","Prov. D.K.I. Jakarta","0.00","60.09","66.59","61.53","0","48.85","100","100","100","0","100"
"5","016200","Kota Jakarta Barat","Prov. D.K.I. Jakarta","0.00","60.42","69.31","63.85","0","49.65","100","100","100","0","100"
"6","016300","Kota Jakarta Selatan","Prov. D.K.I. Jakarta","0.00","64.13","68.94","65.22","0","53.09","100","100","100","0","100"
"7","016400","Kota Jakarta Timur","Prov. D.K.I. Jakarta","0.00","63.7","66.61","63.62","0","51.21","100","100","100","0","100"
"8","020000","Prov. Jawa Barat","Prov. Jawa Barat","13.61","53.57","54.43","48.57","0","45.84","95.98","100","100","0","100"
"9","020500","Kab. Bogor","Prov. Jawa Barat","11.29","50","53.62","48.84","0","44.59","100","100","100","0","100"
"10","020600","Kab. Sukabumi","Prov. Jawa Barat","17.08","60.25","50.35","44.83","0","43.81","89.73","100","100","0","100"
"11","020700","Kab. Cianjur","Prov. Jawa Barat","12.97","51.81","49.01","41.18","0","45.03","83.21","100","100","0","100"
"12","020800","Kab. Bandung","Prov. Jawa Barat","11.09","54.13","51.43","45.64","0","46.61","94.97","100","100","0","100"
"13","021000","Kab. Sumedang","Prov. Jawa Barat","16.61","50.92","53.4","48.63","0","45.6","94.25","100","100","0","100"
"14","021100","Kab. Garut","Prov. Jawa Barat","19.20","46.42","48.33","43.91","0","44","90.16","100","100","0","100"
"15","021200","Kab. Tasikmalaya","Prov. Jawa Barat","23.43","53.54","49.33","45.18","0","47.98","96.94","100","100","0","100"
"16","021400","Kab. Ciamis","Prov. Jawa Barat","15.09","50.3","51.4","47.54","0","47.05","100","100","100","0","100"
"17","021500","Kab. Kuningan","Prov. Jawa Barat","13.41","49.79","53.17","49.13","0","46.94","100","100","100","0","100"
"18","021600","Kab. Majalengka","Prov. Jawa Barat","0.00","48.69","51.27","46.07","0","46.45","100","100","100","0","100"
"19","021700","Kab. Cirebon","Prov. Jawa Barat","6.12","46.97","50.39","45.39","0","43.99","99.93","100","100","0","100"
"20","021800","Kab. Indramayu","Prov. Jawa Barat","14.19","45.97","48.95","43.72","0","42.74","100","100","100","0","100"
"21","021900","Kab. Subang","Prov. Jawa Barat","23.92","47.85","50.29","46","0","43.04","93.15","100","100","0","100"
"22","022000","Kab. Purwakarta","Prov. Jawa Barat","14.07","47.06","50.43","46.01","0","43.58","95.76","100","100","0","100"
"23","022100","Kab. Karawang","Prov. Jawa Barat","16.63","66.68","48.52","43.34","0","43.36","86.25","100","100","0","100"
"24","022200","Kab. Bekasi","Prov. Jawa Barat","25.25","49.28","51.59","47.67","0","42.76","100","100","100","0","100"
"25","022300","Kab. Bandung Barat","Prov. Jawa Barat","12.59","61.03","50.59","46.24","0","45.21","90.36","100","100","0","100"
"26","022500","Kab. Pangandaran","Prov. Jawa Barat","13.21","47.94","47.95","44.03","0","44.46","100","100","100","0","100"
"27","026000","Kota Bandung","Prov. Jawa Barat","24.08","59.7","63.82","56.14","0","51.55","100","100","100","0","100"
"28","026100","Kota Bogor","Prov. Jawa Barat","15.90","61.07","64.45","57.4","0","48.99","100","100","100","0","100"
"29","026200","Kota Sukabumi","Prov. Jawa Barat","9.74","53.74","56.18","50.03","0","48.5","100","100","100","0","100"
"30","026300","Kota Cirebon","Prov. Jawa Barat","16.39","56.94","60.32","52.86","0","47.19","100","100","100","0","100"
"31","026500","Kota Bekasi","Prov. Jawa Barat","16.77","59.19","62.92","58.25","0","47.76","100","100","100","0","100"
